Actual Cumulative Returns: 2018-11-19 to 2023-03-27,Algo Cumulative Returns: 2018-11-19 to 2023-03-27
1.178858438,1.182213572
1.17865238,1.182006927
1.186585617,1.189962743
1.164640429,1.167955096
1.176591799,1.179940481
1.188234082,1.191615899
1.206058108,1.209490654
1.206882341,1.210317233
1.204306614,1.207734176
1.204512673,1.20794082
1.188749227,1.192132511
1.203482382,1.206907597
1.212754997,1.216206603
1.222439728,1.225918898
1.212342881,1.215793314
1.216567072,1.220029527
1.222748815,1.226228864
1.207191428,1.2106272
1.216361014,1.219822883
1.213888317,1.217343148
1.216361014,1.219822883
1.226148774,1.2296385
1.227179064,1.230671723
1.241912219,1.245446809
1.250875747,1.254435848
1.238100144,1.241623885
1.242324335,1.245860098
1.233051721,1.236561093
1.216154956,1.219616238
1.212961055,1.216413247
1.219967031,1.223439163
1.206882341,1.210317233
1.219864002,1.22333584
1.235524418,1.239040828
1.231506285,1.235011259
1.234597156,1.238110927
1.232639604,1.236147804
1.237069854,1.240590662
1.228312384,1.231808268
1.229136617,1.232634846
1.240057696,1.243587008
1.234597156,1.238110927
1.236554708,1.24007405
1.224500309,1.227985343
1.218627653,1.222095973
1.233978982,1.237490993
1.24180919,1.245343487
1.237069854,1.240590662
1.230475994,1.233978036
1.235009273,1.238524216
1.23634865,1.239867406
1.232330517,1.235837837
1.233978982,1.237490993
1.236142592,1.239660761
1.234906244,1.238420894
1.240057696,1.243587008
1.249639398,1.253195981
1.257881723,1.261461763
1.254378735,1.257948806
1.257160519,1.260738507
1.255409025,1.258982028
1.240160725,1.24369033
1.227385123,1.230878367
1.229445704,1.232944813
1.237688028,1.241210596
1.233875953,1.237387671
1.229033587,1.232531524
1.217082217,1.220546139
1.196579435,1.199985004
1.201318772,1.204737829
1.188337111,1.191719222
1.185967443,1.189342809
1.188543169,1.191925866
1.179579641,1.182936828
1.192149186,1.195542146
1.201627859,1.205047796
1.20801566,1.211453778
1.213785287,1.217239826
1.218215537,1.221682684
1.216361014,1.219822883
1.198846075,1.202258095
1.195137029,1.198538492
1.19606429,1.199468393
1.21244591,1.215896636
1.218833711,1.222302618
1.213167113,1.216619892
1.193488564,1.196885336
1.200185452,1.203601284
1.207088399,1.210523877
1.207088399,1.210523877
1.207603544,1.211040489
1.209561096,1.213003612
1.203482382,1.206907597
1.189985576,1.193372378
1.171852462,1.175187656
1.173500927,1.176840813
1.172573666,1.175910912
1.15907686,1.162375693
1.170822172,1.174154433
1.182567484,1.185933174
1.188131053,1.191512577
1.181846281,1.185209918
