Close,Daily_Return,Cumulative_Return,SMA_Short,SMA_Long,Signal
16.280000686645508,0.002463110596742979,0.03168573904533112,16.233061226046814,16.195757528748175,1.0
16.329999923706055,0.003071206078115285,0.034854258557792006,16.239591832063635,16.201313086230346,1.0
16.309999465942383,-0.001224767780594882,0.03358680240429912,16.24714285013627,16.207474698924056,1.0
16.170000076293945,-0.008583653846266248,0.024714851072391353,16.254489781905193,16.212121163955842,1.0
16.06999969482422,-0.006184315460599943,0.01837769117619792,16.25938773641781,16.216969644180452,1.0
16.06999969482422,0.0,0.01837769117619792,16.25999995640346,16.223737321718776,1.0
16.219999313354492,0.009334139475969394,0.02788337058485224,16.264489738308654,16.23101004205569,1.0
16.280000686645508,0.0036992216911879705,0.03168573904533112,16.266734648723993,16.23636358434504,1.0
16.139999389648438,-0.008599587904926431,0.022813666842151692,16.26285708680445,16.2384847872185,1.0
16.110000610351562,-0.0018586604976029708,0.02091260348318369,16.25673465339505,16.239292867255934,1.0
15.9399995803833,-0.010552515426909825,0.010139407485400653,16.24816320380386,16.237272667162348,1.0
16.010000228881836,0.004391508804346689,0.014575443586990255,16.239183601067992,16.236767624363754,-1.0
16.15999984741211,0.009369120323913238,0.024081122995644355,16.234693819162796,16.236565599537858,-1.0
16.200000762939453,0.0024753042020448923,0.026616035302630348,16.229999950953893,16.23989894173362,-1.0
16.030000686645508,-0.010493831375789298,0.01584289974048314,16.222040779736577,16.237878751273108,-1.0
15.850000381469727,-0.011228964283559795,0.00443603610158938,16.210612219207142,16.23343430143414,-1.0
15.760000228881836,-0.00567824292882102,-0.0012673957178575002,16.197346920869787,16.229494913659913,-1.0
15.649999618530273,-0.006979734057996678,-0.008238283690797266,16.18244897102823,16.223131266507234,-1.0
15.760000228881836,0.007028793165037239,-0.0012673957178575002,16.167959193794093,16.218181773869677,-1.0
15.869999885559082,0.006979673545667975,0.005703431819446658,16.158775524217255,16.214747438527116,-1.0
15.890000343322754,0.0012602682991744718,0.0069708879729397655,16.15448980915303,16.212020170809044,-1.0
15.760000228881836,-0.00818125309201434,-0.0012673957178572781,16.145918379024582,16.209090887898146,-1.0
15.489999771118164,-0.01713200849254226,-0.018377691176197808,16.13224490807981,16.200606037872006,-1.0
15.470000267028809,-0.0012911235884357497,-0.019645086894054975,16.121836759606186,16.190202000165225,-1.0
15.399999618530273,-0.004524928719473076,-0.024081122995644577,16.108163288661412,16.17787875551166,-1.0
15.5600004196167,0.010389662665569288,-0.013941655074608095,16.097142881276657,16.16787876745667,-1.0
15.579999923706055,0.0012853151381757577,-0.012674259356750928,16.087551058555135,16.158787862218993,-1.0
15.670000076293945,0.005776646535854635,-0.006970827537303936,16.078367369515554,16.151616154295027,-1.0
15.75,0.005105291851726257,-0.0019011237946037207,16.068163287882903,16.146868686483362,-1.0
15.75,0.0,-0.0019011237946037207,16.054897989545548,16.140808076569527,-1.0
15.720000267028809,-0.0019047449505518177,-0.0038022475892074414,16.041020451759806,16.134141421077228,-1.0
15.739999771118164,0.0012722330629537648,-0.0025348518713501633,16.028979632319235,16.128585853961983,-1.0
15.899999618530273,0.01016517469750533,0.00760455561405049,16.018775550686584,16.12707070630006,-1.0
15.989999771118164,0.005660387091016128,0.01330798743349737,16.014489816159617,16.123636361324426,-1.0
16.030000686645508,0.0025016207692256653,0.015842899740483363,16.009591861647003,16.121111108799173,-1.0
15.960000038146973,-0.004366852495324758,0.01140686363889376,16.002244929878078,16.118787871466743,-1.0
15.850000381469727,-0.00689220904851684,0.004436036101589824,15.998163320580307,16.116060594115595,-1.0
15.84000015258789,-0.0006309292518079657,0.0038023080248432706,15.99224497347462,16.112323231167263,-1.0
15.229999542236328,-0.03851013917142565,-0.03485425855779167,15.970612292387047,16.100606060991385,-1.0
15.430000305175781,0.01313202685166237,-0.022179938765405027,15.951836780625946,16.09010102050473,-1.0
15.430000305175781,0.0,-0.022179938765405027,15.935102092976473,16.07989899799077,-1.0
15.489999771118164,0.0038884941513745996,-0.018377691176197586,15.91897962531265,16.070707080340146,-1.0
15.5600004196167,0.004519086477267287,-0.013941655074608095,15.905102087526906,16.061616184735538,-1.0
15.399999618530273,-0.010282827556014063,-0.024081122995644577,15.886530662069516,16.05252527949786,-1.0
15.359999656677246,-0.002597400184666032,-0.02661597486699474,15.867346997163734,16.042828309415565,-1.0
15.369999885559082,0.0006510565823800718,-0.025982246790248298,15.849183724851024,16.034747499408144,-1.0
15.399999618530273,0.0019518369027040627,-0.024081122995644577,15.82979595417879,16.026868704593543,-1.0
15.350000381469727,-0.003246703785653615,-0.027249642508105465,15.812653093921895,16.0185858793933,-1.0
15.350000381469727,0.0,-0.027249642508105465,15.794489841071927,16.010808096991646,-1.0
15.4399995803833,0.005863139848662158,-0.021546271124294414,15.77734696135229,16.00494950227063,-1.0
15.260000228881836,-0.011657989403714542,-0.032953074327552345,15.75551023288649,15.997676781933716,-1.0
15.270000457763672,0.0006553229837382712,-0.03231934625080579,15.734285763331822,15.990202036770908,-1.0
15.239999771118164,-0.001964681450304373,-0.03422053048104523,15.71530616526701,15.983131331626815,-1.0
15.069999694824219,-0.011154860816738221,-0.04499366604319244,15.694898002001704,15.975656576830932,-1.0
14.979999542236328,-0.005972140305935181,-0.05069709786263932,15.672653100928482,15.967070714391843,-1.0
14.770000457763672,-0.014018630900525797,-0.06400502486050097,15.643061287549077,15.954242426939684,-1.0
14.850000381469727,0.005416379229968404,-0.05893532111780064,15.613877607851613,15.942626269176753,-1.0
